20220129T053049_20220129T053901_T43RFM_ndvi,20220129T053049_20220129T053901_T43RFN_ndvi,20220129T053049_20220129T053901_T43RGM_ndvi,20220129T053049_20220129T053901_T43RGN_ndvi,20220208T052959_20220208T053055_T43RFM_ndvi,20220208T052959_20220208T053055_T43RFN_ndvi,20220208T052959_20220208T053055_T43RGM_ndvi,20220208T052959_20220208T053055_T43RGN_ndvi,20220213T052931_20220213T052930_T43RFM_ndvi,20220213T052931_20220213T052930_T43RFN_ndvi,20220213T052931_20220213T052930_T43RGM_ndvi,20220213T052931_20220213T052930_T43RGN_ndvi,20220218T052849_20220218T053644_T43RFM_ndvi,20220218T052849_20220218T053644_T43RFN_ndvi,20220218T052849_20220218T053644_T43RGM_ndvi,20220218T052849_20220218T053644_T43RGN_ndvi,20220228T052749_20220228T054031_T43RFM_ndvi,20220228T052749_20220228T054031_T43RFN_ndvi,20220228T052749_20220228T054031_T43RGM_ndvi,20220228T052749_20220228T054031_T43RGN_ndvi,20220305T052721_20220305T054013_T43RFM_ndvi,20220305T052721_20220305T054013_T43RFN_ndvi,20220305T052721_20220305T054013_T43RGM_ndvi,20220305T052721_20220305T054013_T43RGN_ndvi,20220310T052649_20220310T053819_T43RFM_ndvi,20220310T052649_20220310T053819_T43RFN_ndvi,20220315T052651_20220315T053616_T43RFM_ndvi,20220315T052651_20220315T053616_T43RFN_ndvi,20220315T052651_20220315T053616_T43RGM_ndvi,20220315T052651_20220315T053616_T43RGN_ndvi,20220320T052649_20220320T053950_T43RFM_ndvi,20220320T052649_20220320T053950_T43RFN_ndvi,20220320T052649_20220320T053950_T43RGM_ndvi,20220320T052649_20220320T053950_T43RGN_ndvi,20220325T052651_20220325T053632_T43RFM_ndvi,20220325T052651_20220325T053632_T43RFN_ndvi,20220325T052651_20220325T053632_T43RGM_ndvi,20220325T052651_20220325T053632_T43RGN_ndvi,20220330T052639_20220330T053927_T43RFM_ndvi,20220330T052639_20220330T053927_T43RFN_ndvi,20220330T052639_20220330T053927_T43RGM_ndvi,20220330T052639_20220330T053927_T43RGN_ndvi,20220404T052651_20220404T053845_T43RFM_ndvi,20220404T052651_20220404T053845_T43RFN_ndvi,20220404T052651_20220404T053845_T43RGM_ndvi,20220404T052651_20220404T053845_T43RGN_ndvi,20220409T052639_20220409T054032_T43RFM_ndvi,20220409T052639_20220409T054032_T43RFN_ndvi,20220409T052639_20220409T054032_T43RGM_ndvi,20220414T052651_20220414T053847_T43RFM_ndvi,20220414T052651_20220414T053847_T43RFN_ndvi,20220414T052651_20220414T053847_T43RGM_ndvi,20220414T052651_20220414T053847_T43RGN_ndvi,20220419T052639_20220419T053615_T43RFM_ndvi,20220419T052639_20220419T053615_T43RFN_ndvi,20220419T052639_20220419T053615_T43RGM_ndvi,20220419T052639_20220419T053615_T43RGN_ndvi,20220424T052651_20220424T053328_T43RFM_ndvi,20220424T052651_20220424T053328_T43RFN_ndvi,20220424T052651_20220424T053328_T43RGM_ndvi,20220424T052651_20220424T053328_T43RGN_ndvi,dtname,State_LGD,Dist_LGD,system:index,stname
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurung Kumey,12.0,233.0,00000000000000000023,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Subansiri,12.0,236.0,00000000000000000024,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Kameng,12.0,231.0,00000000000000000025,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Kameng,12.0,242.0,00000000000000000026,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kra Daadi,12.0,677.0,00000000000000000027,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Namsai,12.0,678.0,00000000000000000028,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Longding,12.0,666.0,00000000000000000029,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper Siang,12.0,240.0,0000000000000000002a,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Siang,12.0,719.0,0000000000000000002b,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dibang Valley,12.0,230.0,0000000000000000002c,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Dibang Valley,12.0,235.0,0000000000000000002d,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siang,12.0,679.0,0000000000000000002e,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shi Yomi,12.0,725.0,0000000000000000002f,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pakke Kessang,12.0,723.0,00000000000000000030,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Siang,12.0,243.0,00000000000000000031,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leparada,12.0,724.0,00000000000000000032,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamle,12.0,718.0,00000000000000000033,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tinsukia,18.0,302.0,00000000000000000034,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dhemaji,18.0,284.0,00000000000000000035,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dibrugarh,18.0,286.0,00000000000000000036,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakhimpur,18.0,295.0,00000000000000000037,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sivasagar,18.0,300.0,00000000000000000038,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorhat,18.0,290.0,00000000000000000039,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonitpur,18.0,301.0,0000000000000000003a,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golaghat,18.0,288.0,0000000000000000003b,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Udalguri,18.0,617.0,0000000000000000003c,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chirang,18.0,612.0,0000000000000000003d,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baksa,18.0,616.0,0000000000000000003e,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagaon,18.0,297.0,0000000000000000003f,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokrajhar,18.0,294.0,00000000000000000040,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darrang,18.0,283.0,00000000000000000041,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barpeta,18.0,280.0,00000000000000000042,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nalbari,18.0,298.0,00000000000000000043,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marigaon,18.0,296.0,00000000000000000044,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamrup,18.0,291.0,00000000000000000045,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bongaigaon,18.0,281.0,00000000000000000046,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dhubri,18.0,285.0,00000000000000000047,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamrup Metro,18.0,618.0,00000000000000000048,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalpara,18.0,287.0,00000000000000000049,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dima Hasao,18.0,299.0,0000000000000000004a,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cachar,18.0,282.0,0000000000000000004b,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karimganj,18.0,293.0,0000000000000000004c,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hailakandi,18.0,289.0,0000000000000000004d,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charaideo,18.0,708.0,0000000000000000004e,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majuli,18.0,706.0,0000000000000000004f,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biswanath,18.0,705.0,00000000000000000050,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hojai,18.0,709.0,00000000000000000051,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Salmara Mancachar,18.0,707.0,00000000000000000052,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karbi Anglong,18.0,292.0,00000000000000000053,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Karbi Anglong,18.0,710.0,00000000000000000054,ASSAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 Paraganas South,19.0,304.0,00000000000000000055,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darjeeling,19.0,309.0,00000000000000000056,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalpaiguri,19.0,314.0,00000000000000000057,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dinajpur Dakshin,19.0,310.0,00000000000000000058,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maldah,19.0,316.0,00000000000000000059,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Murshidabad,19.0,319.0,0000000000000000005a,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birbhum,19.0,307.0,0000000000000000005b,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nadia,19.0,320.0,0000000000000000005c,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purba Bardhaman,19.0,306.0,0000000000000000005d,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purulia,19.0,321.0,0000000000000000005e,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bankura,19.0,305.0,0000000000000000005f,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 Paraganas North,19.0,303.0,00000000000000000060,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hooghly,19.0,312.0,00000000000000000061,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medinipur West,19.0,318.0,00000000000000000062,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Howrah,19.0,313.0,00000000000000000063,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kolkata,19.0,315.0,00000000000000000064,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medinipur East,19.0,317.0,00000000000000000065,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alipurduar,19.0,664.0,00000000000000000066,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paschim Bardhaman,19.0,704.0,00000000000000000067,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalimpong,19.0,702.0,00000000000000000068,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jhargram,19.0,703.0,00000000000000000069,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coochbehar,19.0,308.0,0000000000000000006a,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dinajpur Uttar,19.0,311.0,0000000000000000006b,WEST BENGAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pashchim Champaran,10.0,211.0,0000000000000000006c,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purba Champaran,10.0,213.0,0000000000000000006d,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sitamarhi,10.0,221.0,0000000000000000006e,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheohar,10.0,220.0,0000000000000000006f,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gopalganj,10.0,197.0,00000000000000000070,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samastipur,10.0,217.0,00000000000000000071,BIHAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katihar,10.0,201.0,00000000000000000072,BIHAR
